"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2019","2,041.74","2,029.03","2,048.90","2,022.97","439.18M","0.14%"
"May 30, 2019","2,038.80","2,024.33","2,040.66","2,023.91","461.85M","0.77%"
"May 29, 2019","2,023.32","2,046.71","2,046.71","2,016.25","380.89M","-1.25%"
"May 28, 2019","2,048.83","2,044.77","2,058.42","2,038.52","494.48M","0.23%"
"May 27, 2019","2,044.21","2,044.25","2,055.13","2,035.87","351.62M","-0.05%"
"May 24, 2019","2,045.31","2,047.30","2,057.38","2,035.98","480.65M","-0.69%"
"May 23, 2019","2,059.59","2,063.25","2,065.86","2,046.82","509.27M","-0.26%"
"May 22, 2019","2,064.86","2,068.65","2,070.80","2,048.01","509.97M","0.18%"
"May 21, 2019","2,061.25","2,056.95","2,076.47","2,053.69","526.86M","0.27%"
"May 20, 2019","2,055.71","2,066.53","2,077.10","2,051.69","640.20M","-0.00%"
"May 17, 2019","2,055.80","2,081.57","2,082.83","2,053.79","537.38M","-0.58%"
"May 16, 2019","2,067.69","2,094.88","2,095.58","2,062.44","745.16M","-1.20%"
"May 15, 2019","2,092.78","2,081.92","2,100.01","2,076.46","577.79M","0.53%"
"May 14, 2019","2,081.84","2,060.24","2,093.41","2,056.74","696.20M","0.14%"
"May 13, 2019","2,079.01","2,091.80","2,101.09","2,077.72","505.75M","-1.38%"
"May 10, 2019","2,108.04","2,118.42","2,124.92","2,090.39","714.77M","0.29%"
"May 09, 2019","2,102.01","2,159.79","2,164.98","2,102.01","743.51M","-3.04%"
"May 08, 2019","2,168.01","2,151.34","2,179.34","2,151.34","456.33M","-0.41%"
"May 07, 2019","2,176.99","2,172.39","2,179.51","2,160.44","484.10M","-0.88%"
"May 03, 2019","2,196.32","2,209.44","2,211.36","2,192.36","617.88M","-0.74%"
"May 02, 2019","2,212.75","2,192.94","2,217.03","2,191.30","369.06M","0.42%"
"Apr 30, 2019","2,203.59","2,213.43","2,215.77","2,186.33","381.41M","-0.58%"
"Apr 29, 2019","2,216.43","2,183.41","2,216.43","2,181.82","380.82M","1.70%"
"Apr 26, 2019","2,179.31","2,178.13","2,186.52","2,168.15","570.17M","-0.51%"
"Apr 25, 2019","2,190.50","2,195.47","2,200.89","2,187.44","441.14M","-0.48%"
"Apr 24, 2019","2,201.03","2,229.75","2,229.75","2,190.29","575.10M","-0.88%"
"Apr 23, 2019","2,220.51","2,217.61","2,223.92","2,212.14","481.18M","0.17%"
"Apr 22, 2019","2,216.65","2,218.50","2,227.94","2,207.25","493.98M","0.02%"
"Apr 19, 2019","2,216.15","2,223.42","2,225.37","2,215.58","525.26M","0.11%"
"Apr 18, 2019","2,213.77","2,248.80","2,250.11","2,210.43","573.34M","-1.43%"
"Apr 17, 2019","2,245.89","2,249.05","2,252.05","2,242.01","452.47M","-0.12%"
"Apr 16, 2019","2,248.63","2,241.06","2,249.89","2,235.72","569.06M","0.26%"
"Apr 15, 2019","2,242.88","2,242.31","2,251.22","2,240.29","404.16M","0.42%"
